"Qty","Value","Part Num","Package","Parts","Mfg Name","VID","Vendor Part Num","Description","Pkg Code","","","","XREF"
"1","0.1uF","GMK105BJ104KV-F","C0402","C8","TAIYO YUDEN (VA)","DK","587-1994-1-ND","CAP CER 0.1UF 35V 10% X5R 0402","402","GMK105BJ104KV-F","","",""
"2","0.1uF","GMK105BJ104KV-F","0402-CAP","C5, C6","TAIYO YUDEN (VA)","DK","587-1994-1-ND","CAP CER 0.1UF 35V 10% X5R 0402","402","GMK105BJ104KV-F","","",""
"1","1uF","C0603C105K3PACTU","C0603","C1","KEMET (VA)","DK","399-7846-1-ND","CAP CER 1UF 25V 10% X5R 0603","0603","C0603C105K3PACTU","","",""
"1","10uF","T494A106M020AT","EIA3216","C2","KEMET (VA)","DK","399-5157-1-ND","CAP TANT 10UF 20V 20% 1206","1206","T494A106M020AT","","",""
"1","220 Ohm","MPZ1608S221A","0603","L1","TDK Corporation","DK","445-1565-1-ND","FERRITE CHIP 220 OHM 2A 0603","0603","MPZ1608S221A","","",""
"1","330","RC0603FR-07330RL","R0603","R1","Yageo","DK","311-330HRCT-ND","RES 330 OHM 1/10W 1% 0603 SMD","0603","RC0603FR-07330RL","","",""
"1","470pF","C0603C471K5RACTU","C0603","C3","KEMET (VA)","DK","399-1075-1-ND","CAP CER 470PF 50V 10% X7R 0603","603","C0603C471K5RACTU","","",""
"1","Blue","LTST-C191TBKT","LED-0603","LED2","LITE-ON INC (VA)","DK","160-1647-1-ND","LED 468NM BLUE CLEAR 0603 SMD","603","LTST-C191TBKT","","",""
"1","M18_","68000-418HLF","1X18","U$5","FCI","DK","609-3268-ND","Conn header 18pos .100 str tin","1x18","68000-418HLF","","",""
"1","M20","M20-9732046","1X20","JP1","HARWIN INC","DK","952-1901-ND","20POS SIL VERTICAL PIN HEADER","*","M20-9732046","","",""
"1","MIC5219 3.3V","MIC5219-3.3YM5 TR","SOT23-5","U1","MICREL INC (VA)","DK","576-1281-1-ND","IC REG LDO 3.3V .5A SOT23-5","SOT23-5","MIC5219-3.3YM5 TR","","",""
"1","USB-MINIB","USB-M26FTR","USB-MINI-B-UX60-MB-5S8","U$4","ON SHORE TECHNOLOGY INC (VA)","DK","ED2992CT-ND","CONN USB MINI B R/A SMD","USB MINI B","USB-M26FTR","","",""
"1","XMEGA-A4UVQFN","ATXMEGA32A4U-MH","QFN44","U$1","ATMEL","DK","ATXMEGA32A4U-MH-ND","IC MCU 8BIT 32KB FLASH 44VQFN","QFN44","ATXMEGA32A4U-MH","","",""
