"Part","Value","Attributes","Package","Description","Part Num","Mfg Name","VID","Vendor Part Num","Description","Pkg Code","","","","XREF"
"C1","1uF","","0603-CAP","Capacitor","C0603C105K3PACTU","KEMET (VA)","DK","399-7846-1-ND","CAP CER 1UF 25V 10% X5R 0603","0603","C0603C105K3PACTU","","",""
"C2","10uF","","EIA3216","Capacitor Polarized","T494A106M020AT","KEMET (VA)","DK","399-5157-1-ND","CAP TANT 10UF 20V 20% 1206","1206","T494A106M020AT","","",""
"C3","470pF","","0603-CAP","Capacitor","C0603C471K5RACTU","KEMET (VA)","DK","399-1075-1-ND","CAP CER 470PF 50V 10% X7R 0603","603","C0603C471K5RACTU","","",""
"C4","0.1uF","","0402-CAP","Capacitor","GMK105BJ104KV-F","TAIYO YUDEN (VA)","DK","587-1994-1-ND","CAP CER 0.1UF 35V 10% X5R 0402","402","GMK105BJ104KV-F","","",""
"C5","0.1uF","","0402-CAP","Capacitor","GMK105BJ104KV-F","TAIYO YUDEN (VA)","DK","587-1994-1-ND","CAP CER 0.1UF 35V 10% X5R 0402","402","GMK105BJ104KV-F","","",""
"C6","0.1uF","","0402-CAP","Capacitor","GMK105BJ104KV-F","TAIYO YUDEN (VA)","DK","587-1994-1-ND","CAP CER 0.1UF 35V 10% X5R 0402","402","GMK105BJ104KV-F","","",""
"C7","0.1uF","","0402-CAP","Capacitor","GMK105BJ104KV-F","TAIYO YUDEN (VA)","DK","587-1994-1-ND","CAP CER 0.1UF 35V 10% X5R 0402","402","GMK105BJ104KV-F","","",""
"C8","4.7nF","","0402-CAP","Capacitor","C0402C472K3RACTU","Kemet","DK","399-1035-1-ND","CAP CER 4700PF 25V 10% X7R 0402","0402","C0402C472K3RACTU","","",""
"ESD1","CG0603MLC-05E","","0603-CHIPGUARD","ESD suppresor","CG0603MLC-05E","Bourns Inc.","DK","CG0603MLC-05ECT-ND","SUPPRESSOR ESD 5VDC 0603 SMD","0603","CG0603MLC-05E","","",""
"ESD2","CG0603MLC-05E","","0603-CHIPGUARD","ESD suppresor","CG0603MLC-05E","Bourns Inc.","DK","CG0603MLC-05ECT-ND","SUPPRESSOR ESD 5VDC 0603 SMD","0603","CG0603MLC-05E","","",""
"JP1","M20","","1X20","1x20 .1" header","M20-9732046","HARWIN INC","DK","952-1901-ND","20POS SIL VERTICAL PIN HEADER","1x20","M20-9732046","","",""
"JP2","M18_","","1X18","1x18 .1" header","68000-418HLF","FCI","DK","609-3268-ND","Conn header 18pos .100 str tin","1x18","68000-418HLF","","",""
"L1","220 Ohm","","0603","SMD EMI Suppression Ferrite Beads","MPZ1608S221A","TDK Corporation","DK","445-1565-1-ND","FERRITE CHIP 220 OHM 2A 0603","0603","MPZ1608S221A","","",""
"POK","Green","","LED-0603","LEDs","LTST-C190KGKT","LITE-ON INC (VA)","DK","160-1435-1-ND","LED GREEN CLEAR 0603 SMD","603","LTST-C190KGKT","","",""
"R1","1k","","0603-RES","Resistor","RC0603FR-071KL","Yageo","DK","311-1.00KHRTR-ND","RES 1.00K OHM 1/10W 1% 0603 SMD","0402","RC0603FR-071KL","","",""
"R2","1M","","0402-RES","Resistor","CRCW04021M00JNED","VISHAY DALE (VA)","DK","541-1.0MJCT-ND","RES 1.0M OHM 1/16W 5% 0402 SMD","0402","CRCW04021M00JNED","","",""
"R3","1k","","0603-RES","Resistor","RC0603FR-071KL","Yageo","DK","311-1.00KHRTR-ND","RES 1.00K OHM 1/10W 1% 0603 SMD","0402","RC0603FR-071KL","","",""
"STATUS","Blue","","LED-0603","LEDs","LTST-C191TBKT","LITE-ON INC (VA)","DK","160-1647-1-ND","LED 468NM BLUE CLEAR 0603 SMD","603","LTST-C191TBKT","","",""
"U$4","USB-MINIB","","USB-MINI-B-UX60-MB-5S8","Mini-USB "B" connector with 5th pin broken out.","UX60-MB-5S8","Hirose","DK","H2960CT-ND","CONN RECEPT MINI USB2.0 5POS","USB MINI B","UX60-MB-5S8","","",""
"U$7","AVR_PDI_PROG","","AVR_50MIL_PROG","","LPPB032NFSP-RC","Sullins Connector Solutions","DK","S9007E-03-ND","CONN HEADER .050"" 6POS DL SMD AU","2x6-SMD","LPPB032NFSP-RC","","",""
"U1","MIC5219 3.3V","","SOT23-5","V_REG MIC5219","MIC5219-3.3YM5 TR","MICREL INC (VA)","DK","576-1281-1-ND","IC REG LDO 3.3V .5A SOT23-5","SOT23-5","MIC5219-3.3YM5 TR","","",""
"UC","XMEGA-A4UVQFN","","QFN44","Atmel XMega A4 series processor","ATXMEGA32A4U-MH","ATMEL","DK","ATXMEGA32A4U-MH-ND","IC MCU 8BIT 32KB FLASH 44VQFN","QFN44","ATXMEGA32A4U-MH","","",""
